a,b,theta,A1,A2,E,E_p1,E_p2,E_t,machine_type,status,file_name
6.1,7.9,61.5,0,2,-41.123202689457685,-0.3440762832760811,-4.82688849628903,-7.695318282581866,2,Done,BTBT_A1=0_A2=2_theta=61.5_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,7.9,61.5,0,4,-40.89423683984205,-0.3495858206879347,-4.82688849628903,-7.635322051472031,2,Done,BTBT_A1=0_A2=4_theta=61.5_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,7.9,61.5,0,6,-40.628737358376384,-0.3577371756546199,-4.82688849628903,-7.564871503622271,2,Done,BTBT_A1=0_A2=6_theta=61.5_a=6.1_b=7.9_cx=0_cy=0_cz=0.log
6.1,8.0,61.5,0,8,-40.42167160939425,-0.3390813036821782,-4.82688849628903,-7.522433002362959,1,Done,BTBT_A1=0_A2=8_theta=61.5_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
6.1,8.0,61.5,0,10,-40.21938748611137,-0.3519829092547297,-4.82688849628903,-7.4654111687559634,1,Done,BTBT_A1=0_A2=10_theta=61.5_a=6.1_b=8.0_cx=0_cy=0_cz=0.log
6.1,8.1,61.5,0,12,-40.09113699197769,-0.3389369761571288,-4.82688849628903,-7.439871511771344,1,Done,BTBT_A1=0_A2=12_theta=61.5_a=6.1_b=8.1_cx=0_cy=0_cz=0.log
6.0,7.8,61.5,0,2,-40.7412499031052,-0.3745544438716024,-4.866415351396427,-7.564827578142285,2,Done,BTBT_A1=0_A2=2_theta=61.5_a=6.0_b=7.8_cx=0_cy=0_cz=0.log
6.0,7.8,61.5,0,4,-40.41538395965472,-0.3805095138959586,-4.866415351396427,-7.480383557267487,2,Done,BTBT_A1=0_A2=4_theta=61.5_a=6.0_b=7.8_cx=0_cy=0_cz=0.log
6.0,7.8,61.5,0,6,-40.01445527002216,-0.3892695531249046,-4.866415351396427,-7.375771365244873,2,Done,BTBT_A1=0_A2=6_theta=61.5_a=6.0_b=7.8_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,0,8,-40.02040406595916,-0.3686370246578008,-4.866415351396427,-7.387574828462675,1,Done,BTBT_A1=0_A2=8_theta=61.5_a=6.0_b=7.9_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,0,10,-39.63949294574559,-0.3824861701577902,-4.866415351396427,-7.285422475659288,1,Done,BTBT_A1=0_A2=10_theta=61.5_a=6.0_b=7.9_cx=0_cy=0_cz=0.log
6.0,8.0,61.5,0,12,-39.67572537250817,-0.3678212617523968,-4.866415351396427,-7.30181303655263,1,Done,BTBT_A1=0_A2=12_theta=61.5_a=6.0_b=8.0_cx=0_cy=0_cz=0.log
6.0,7.9,61.5,0,2,-40.94753753999248,-0.3440762832760811,-4.866415351396427,-7.631638567661866,2,Done,BTBT_A1=0_A2=2_theta=61.5_a=6.0_b=7.9_cx=0_cy=0_cz=0.log
