a,b,theta,E,E_p,E_t,machine_type,status,file_name
12.7,4.1,58.0,-29.75164217222482,-10.20044487924315,-2.3376881034346297,2,Done,BTBT_theta=58.0_a=12.7_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.7,58.0,-37.61391576612368,-4.986313686938956,-6.910322098061442,2,Done,BTBT_theta=58.0_a=6.1_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.7,4.1,58.5,-29.82093182625249,-10.285566610982642,-2.312449651071802,2,Done,BTBT_theta=58.5_a=12.7_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.6,58.5,-38.20639815600589,-4.991603596135974,-7.055797740933485,1,Done,BTBT_theta=58.5_a=6.1_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.1,59.0,-29.94121294422075,-10.354693112662062,-2.307956679724157,1,Done,BTBT_theta=59.0_a=12.8_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.5,59.0,-38.15136552974582,-4.771002455614507,-7.152340154629201,1,Done,BTBT_theta=59.0_a=6.2_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.6,4.0,58.0,-28.96096702106297,-10.042808092199266,-2.2188377091661096,2,Done,BTBT_theta=58.0_a=12.6_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.6,58.0,-38.85246990295127,-5.206293592462316,-7.10997067950666,2,Done,BTBT_theta=58.0_a=6.0_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.6,4.0,58.5,-29.122124140150845,-10.200984537834302,-2.1800387661205605,2,Done,BTBT_theta=58.5_a=12.6_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.5,58.5,-39.32278864784166,-5.192569948732853,-7.234412187593989,1,Done,BTBT_theta=58.5_a=6.0_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.7,58.0,-38.229628577362746,-5.206293592462316,-6.954260348109528,2,Done,BTBT_theta=58.0_a=6.0_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
