a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.3,9.4,25.5,-27.25155447982252,-1.317055638646707,-6.154360800632276,2,Done,BTBT_theta=25.5_a=6.3_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.6,25.5,-37.88980681123212,-3.962700549745932,-7.491101427935064,2,Done,BTBT_theta=25.5_a=7.9_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.7,25.5,-35.12478439882398,-10.99252565181814,-3.2849332737969235,2,Done,BTBT_theta=25.5_a=3.9_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.4,26.0,-27.3447899161838,-1.3418234584387392,-6.16528574982658,1,Done,BTBT_theta=26.0_a=6.3_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.5,26.0,-38.042768648359925,-4.143323027994484,-7.439030648092739,1,Done,BTBT_theta=26.0_a=8.0_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.6,26.0,-35.27211119653657,-10.977747791446744,-3.32915390341077,1,Done,BTBT_theta=26.0_a=3.9_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.3,25.5,-27.48245306033641,-1.457605328410864,-6.141810600878671,2,Done,BTBT_theta=25.5_a=6.2_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.5,25.5,-38.85703817475587,-4.123499986948445,-7.652509550214745,2,Done,BTBT_theta=25.5_a=7.8_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,25.5,-34.804189540445805,-10.845744787948206,-3.278174991137348,2,Done,BTBT_theta=25.5_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.3,26.0,-27.590284379199147,-1.484588258434087,-6.155276965582743,1,Done,BTBT_theta=26.0_a=6.2_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.4,26.0,-39.007979430723935,-4.28545404295437,-7.609267836203799,1,Done,BTBT_theta=26.0_a=7.9_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,26.0,-34.7958436566405,-10.783953878097236,-3.306983975111507,1,Done,BTBT_theta=26.0_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.4,25.5,-27.340535398572683,-1.457605328410864,-6.106331185437739,2,Done,BTBT_theta=25.5_a=6.2_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.6,25.5,-38.346935296896845,-3.962700549745932,-7.605383549351245,2,Done,BTBT_theta=25.5_a=7.8_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,25.5,-34.68021866399795,-10.845744787948206,-3.247182272025384,2,Done,BTBT_theta=25.5_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.4,26.0,-27.445003263652325,-1.484588258434087,-6.118956686696038,1,Done,BTBT_theta=26.0_a=6.2_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.5,26.0,-38.545429260935634,-4.143323027994484,-7.564695801236667,1,Done,BTBT_theta=26.0_a=7.9_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.6,26.0,-34.70334868179634,-10.783953878097236,-3.2838602314004675,1,Done,BTBT_theta=26.0_a=3.8_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.5,25.5,-27.14783962816,-1.457605328410864,-6.058157242834568,2,Done,BTBT_theta=25.5_a=6.2_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.7,25.5,-37.740007624495775,-3.775313513353467,-7.54734514944721,2,Done,BTBT_theta=25.5_a=7.8_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.8,25.5,-34.513903414830565,-10.845744787948206,-3.2056034597335383,2,Done,BTBT_theta=25.5_a=3.8_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,9.5,26.0,-27.2483165296726,-1.484588258434087,-6.069785003201105,1,Done,BTBT_theta=26.0_a=6.2_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.9,6.6,26.0,-37.96973903663456,-3.967275097733364,-7.508797210291959,1,Done,BTBT_theta=26.0_a=7.9_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.7,26.0,-34.56394106056541,-10.783953878097236,-3.249008326092735,1,Done,BTBT_theta=26.0_a=3.8_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,9.3,25.5,-27.478261293377727,-1.317055638646707,-6.211037504021078,2,Done,BTBT_theta=25.5_a=6.3_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
