X,Y,Z,R
7.32E-07,1.394754618,3.447854805,1.7
-1.15E-08,0.432353183,4.459052673,1.7
-5.82E-07,-0.941029791,4.148535455,1.7
-4.06E-07,-1.37295972,2.825026478,1.7
2.20E-07,-0.423705809,1.784706912,1.7
6.45E-07,0.964628096,2.117288037,1.7
7.39E-07,-0.590753639,0.362015746,1.7
1.54E-06,0.596278934,-0.356489591,1.7
7.99E-07,2.00611574,0.687181752,1.8
-1.04E-06,-1.999428657,-0.683784601,1.8
8.93E-07,-0.956184451,-2.113089631,1.7
1.66E-06,0.427922585,-1.778592676,1.7
2.10E-07,-1.392142737,-3.443109716,1.7
-3.60E-07,-0.448183387,-4.475537769,1.7
-1.70E-06,0.928908191,-4.143549115,1.7
3.13E-07,1.369392968,-2.826840435,1.7
1.02E-06,2.459201151,3.690373824,1.2
-2.37E-07,0.752085594,5.502942109,1.2
-1.19E-06,-1.675474826,4.956356972,1.2
-7.65E-07,-2.438990498,2.58667624,1.2
-2.22E-06,-2.460073522,-3.6666399,1.2
-4.82E-06,1.663009805,-4.953984421,1.2
-1.79E-06,2.437815718,-2.59887065,1.2
8.96E-06,-0.845086274,-5.938747053,1.7
-0.000128748,-2.343438365,-6.245860346,1.7
-0.000156557,-2.637091139,-7.749517878,1.7
-0.000280542,-4.133053282,-8.078519402,1.7
-0.000315241,-4.427434778,-9.581839212,1.7
-0.00043553,-5.922938121,-9.913894227,1.7
-0.000472742,-6.21632302,-11.41733688,1.7
-0.000591408,-7.711779625,-11.75204999,1.7
-0.000628871,-7.991906884,-13.25709652,1.7
0.878317769,-0.380149139,-6.42411707,1.2
-0.878174999,-0.379974321,-6.424173767,1.2
-0.884578276,-2.818427564,-5.784100979,1.2
0.884235124,-2.818592062,-5.784106354,1.2
0.882672012,-2.160933861,-8.21486337,1.2
-0.882909179,-2.160788473,-8.214858509,1.2
-0.883103701,-4.609191556,-7.61305565,1.2
0.882471859,-4.609335032,-7.613068216,1.2
0.882370009,-3.950518038,-10.04691894,1.2
-0.882932543,-3.950379034,-10.04690529,1.2
-0.883150156,-6.399941962,-9.448884157,1.2
0.882213121,-6.400080201,-9.448900766,1.2
0.882158716,-5.739265595,-11.88285772,1.2
-0.883039587,-5.739129395,-11.88284059,1.2
-0.882610591,-8.186612575,-11.28598159,1.2
0.881364394,-8.186748451,-11.28600012,1.2
-0.000714307,-9.071899551,-13.46983609,1.2
0.887759624,-7.55563294,-13.7419964,1.2
-0.888960387,-7.555496053,-13.74197759,1.2
