a,b,theta,A1,A2,phi,status
7.9,6.1,28.5,6,-8,28.5,NotYet
7.9,6.1,28.5,6,-2,28.5,NotYet
7.9,6.1,28.5,6,-4,28.5,NotYet
7.9,6.1,28.5,6,-6,28.5,NotYet
7.9,6.1,28.5,4,-8,28.5,NotYet
7.9,6.1,28.5,4,-2,28.5,NotYet
7.9,6.1,28.5,4,-4,28.5,NotYet
7.9,6.1,28.5,4,-6,28.5,NotYet
7.9,6.1,28.5,2,-8,28.5,NotYet
7.9,6.1,28.5,2,-2,28.5,NotYet
7.9,6.1,28.5,2,-4,28.5,NotYet
7.9,6.1,28.5,2,-6,28.5,NotYet
7.9,6.1,28.5,0,-8,28.5,NotYet
7.9,6.1,28.5,0,-2,28.5,NotYet
7.9,6.1,28.5,0,-4,28.5,NotYet
7.9,6.1,28.5,0,-6,28.5,NotYet
